categoryId:ID,code,icdVersion,title,:LABEL
icd_G89_v10,G89,10,"Pain, not elsewhere classified",ICD_Category
icd_I34_v10,I34,10,Nonrheumatic mitral valve disorders,ICD_Category
icd_I24_v10,I24,10,Other acute ischemic heart diseases,ICD_Category
icd_R78_v10,R78,10,"Findings of drugs and other substances, not normally found in blood",ICD_Category
icd_R74_v10,R74,10,Abnormal serum enzyme levels,ICD_Category
icd_I44_v10,I44,10,Atrioventricular and left bundle-branch block,ICD_Category
icd_Z45_v10,Z45,10,Encounter for adjustment and management of implanted device,ICD_Category
icd_I46_v10,I46,10,Cardiac arrest,ICD_Category
icd_M79_v10,M79,10,"Other and unspecified soft tissue disorders, not elsewhere classified",ICD_Category
icd_I08_v10,I08,10,Multiple valve diseases,ICD_Category
icd_R33_v10,R33,10,Retention of urine,ICD_Category
icd_T17_v10,T17,10,Foreign body in respiratory tract,ICD_Category
icd_M47_v10,M47,10,Spondylosis,ICD_Category
icd_M96_v10,M96,10,"Intraoperative and postprocedural complications and disorders of musculoskeletal system, not elsewhere classified",ICD_Category
icd_L03_v10,L03,10,Cellulitis and acute lymphangitis,ICD_Category
icd_K70_v10,K70,10,Alcoholic liver disease,ICD_Category
icd_Z72_v10,Z72,10,Problems related to lifestyle,ICD_Category
icd_A08_v10,A08,10,Viral and other specified intestinal infections,ICD_Category
icd_I81_v10,I81,10,Portal vein thrombosis,ICD_Category
icd_K44_v10,K44,10,Diaphragmatic hernia,ICD_Category
icd_Z53_v10,Z53,10,"Persons encountering health services for specific procedures and treatment, not carried out",ICD_Category
icd_I85_v10,I85,10,Esophageal varices,ICD_Category
icd_B18_v10,B18,10,Chronic viral hepatitis,ICD_Category
icd_K26_v10,K26,10,Duodenal ulcer,ICD_Category
icd_K20_v10,K20,10,Esophagitis,ICD_Category
icd_K25_v10,K25,10,Gastric ulcer,ICD_Category
icd_K31_v10,K31,10,Other diseases of stomach and duodenum,ICD_Category
icd_R10_v10,R10,10,Abdominal and pelvic pain,ICD_Category
icd_B19_v10,B19,10,Unspecified viral hepatitis,ICD_Category
icd_568_v9,568,9,Peritoneal adhesions (postoperative) (postinfection),ICD_Category
icd_863_v9,863,9,"Injury to pancreas, multiple and unspecified sites, without mention of open wound into cavity",ICD_Category
icd_E86_v9,E86,9,Accidental poisoning by other and unspecified ethyl alcohol and its products,ICD_Category
icd_V14_v9,V14,9,Personal history of allergy to penicillin,ICD_Category
icd_864_v9,864,9,Other injury to liver without mention of open wound into cavity,ICD_Category
icd_868_v9,868,9,"Injury to other intra-abdominal organs without mention of open wound into cavity, adrenal gland",ICD_Category
icd_861_v9,861,9,Unspecified injury of lung without mention of open wound into thorax,ICD_Category
icd_839_v9,839,9,"Open dislocation, multiple cervical vertebrae",ICD_Category
