diagnosisId:ID,icdCode,icdVersion,icdTitle,:LABEL
d_I2699_10,I2699,10,Other pulmonary embolism without acute cor pulmonale,Diagnosis
d_C9000_10,C9000,10,Multiple myeloma not having achieved remission,Diagnosis
d_D472_10,D472,10,Monoclonal gammopathy,Diagnosis
d_Z7982_10,Z7982,10,Long term (current) use of aspirin,Diagnosis
d_45620_9,45620,9,"Esophageal varices in diseases classified elsewhere, with bleeding",Diagnosis
d_5845_9,5845,9,Acute kidney failure with lesion of tubular necrosis,Diagnosis
d_5712_9,5712,9,Alcoholic cirrhosis of liver,Diagnosis
d_30301_9,30301,9,"Acute alcoholic intoxication in alcoholism, continuous",Diagnosis
d_5711_9,5711,9,Acute alcoholic hepatitis,Diagnosis
d_41071_9,41071,9,"Subendocardial infarction, initial episode of care",Diagnosis
d_5722_9,5722,9,Hepatic encephalopathy,Diagnosis
d_2866_9,2866,9,Defibrination syndrome,Diagnosis
d_45989_9,45989,9,Other specified disorders of circulatory system,Diagnosis
d_78959_9,78959,9,Other ascites,Diagnosis
d_41400_9,41400,9,"Coronary atherosclerosis of unspecified type of vessel, native or graft",Diagnosis
d_27651_9,27651,9,Dehydration,Diagnosis
d_7802_9,7802,9,Syncope and collapse,Diagnosis
d_V4582_9,V4582,9,Percutaneous transluminal coronary angioplasty status,Diagnosis
d_0088_9,0088,9,"Intestinal infection due to other organism, not elsewhere classified",Diagnosis
d_25012_9,25012,9,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled",Diagnosis
d_V1005_9,V1005,9,Personal history of malignant neoplasm of large intestine,Diagnosis
d_78609_9,78609,9,Other respiratory abnormalities,Diagnosis
d_7851_9,7851,9,Palpitations,Diagnosis
d_E8499_9,E8499,9,Accidents occurring in unspecified place,Diagnosis
d_8020_9,8020,9,Closed fracture of nasal bones,Diagnosis
d_78039_9,78039,9,Other convulsions,Diagnosis
d_E9600_9,E9600,9,Unarmed fight or brawl,Diagnosis
d_F17200_10,F17200,10,"Nicotine dependence, unspecified, uncomplicated",Diagnosis
